"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"82"	82	"ENST00000468313"	"ENSG00000171401"	"KRT13"	8.82622928063288e-104	5.52521952967618e-101	1.69226301488018	0.0782267251810413	6.8051648508017	0.862999852437126	0.00514260008460457	-0.000300576362456155	0.00403653071422067	0.00403653071422067
"83"	83	"ENST00000341165"	"ENSG00000188554"	"NBR1"	9.43934184519524e-104	5.83783488671761e-101	1.33254352124213	0.0616071175998427	7.25935979377586	0.535173267125664	0.00204373454551527	0.00104576085992454	0.003649420862926	0.003649420862926
"87"	87	"ENST00000215631"	"ENSG00000099860"	"GADD45B"	4.79656649655205e-103	2.83008449886218e-100	1.70813086011033	0.0792467904814941	7.48054254973681	0.882849375140318	0.000985966209723119	0.00843411449270361	0.00363254986865849	0.00843411449270361
"88"	88	"ENST00000368947"	"ENSG00000143412"	"ANXA9"	6.32223653570216e-103	3.68787552103027e-100	1.73744810069215	0.0806547858939771	6.19584296443365	0.910373675685369	0.00434677834262599	0.00159810278954463	0.00541101338877893	0.00541101338877893
"91"	91	"ENST00000367284"	"ENSG00000163435"	"ELF3"	1.51135629049511e-101	8.52537814326317e-99	1.55085998041919	0.0724895645240057	7.19146304288418	0.723949190603996	0.00420563042892196	-0.00120664674860302	0.00367647501839802	0.00367647501839802
"92"	92	"ENST00000371804"	"ENSG00000185745"	"IFIT1"	2.42665687170771e-101	1.35396902759239e-98	1.53996670423223	0.0720548136300919	6.96397337156817	0.717679510443882	0.00186705497362317	0.00592078927727775	0.00384440580335042	0.00592078927727775
"96"	96	"ENST00000501122"	"ENSG00000245532"	"NEAT1"	3.27008597697127e-100	1.74854222260302e-97	2.20612317039185	0.103815704606672	7.94201851116512	1.47302707350952	0.000852229550273031	0.0153143212341965	0.00396191912048117	0.0153143212341965
"97"	97	"ENST00000299977"	"ENSG00000166750"	"SLFN5"	2.65075317218881e-99	1.4027676477814e-96	1.81937199132176	0.0860146085301965	6.50056285742552	1.00191254829855	0.00344345155039599	0.00765431777050843	0.00460142782485674	0.00765431777050843
"101"	101	"ENST00000562057"	"ENSG00000166145"	"SPINT1"	4.84534938775519e-98	2.46258885913118e-95	1.28607656331387	0.0611998356960297	7.99108050050439	0.500692381878629	0.00126671772537732	0.00435141210845424	0.00402897371657383	0.00435141210845424
"115"	115	"ENST00000255688"	"ENSG00000133321"	"PLAAT4"	2.94283499894725e-92	1.31357918405183e-89	1.53970761339242	0.0755783438136408	6.21070377050963	0.717340874586677	0.00320439815933648	0.00445936954704003	0.00536373092108287	0.00536373092108287
"120"	120	"ENST00000393976"	"ENSG00000171346"	"KRT15"	1.43072357842207e-89	6.12015856063015e-87	1.12692177335683	0.0561576378258	7.68834910651403	0.382955244703901	0.00101343818299447	0.00144836147224223	0.00371708224626611	0.00371708224626611
"123"	123	"ENST00000241261"	"ENSG00000121858"	"TNFSF10"	5.09096450720422e-88	2.12462918767323e-85	1.92585220034971	0.0968311422523288	6.21035379417328	1.11598768958354	0.00869957294050186	-0.00455497255801355	0.00536483222433426	0.00536483222433426
"124"	124	"ENST00000356413"	"ENSG00000089289"	"IGBP1"	8.86911678319508e-88	3.67152824770137e-85	1.30432405424512	0.0656729290799552	6.80605694131498	0.512241924780369	0.0024341326558694	-0.000104691111313555	0.00403526776504184	0.00403526776504184
"138"	138	"ENST00000425699"	"ENSG00000188613"	"NANOS1"	1.33521362764175e-85	4.9666076763845e-83	2.14100709223196	0.109193463638949	5.70943394690759	1.37892226584701	0.00998091555746064	-0.00529484661901757	0.00790390319474508	0.00790390319474508
"139"	139	"ENST00000374045"	"ENSG00000181634"	"TNFSF15"	1.43388041177122e-85	5.29524815086621e-83	1.25218656063757	0.0638745593626541	6.68815329376158	0.471403427309108	0.00189867313120688	-0.000633582485325795	0.00422126586945296	0.00422126586945296
"147"	147	"ENST00000611722"	"ENSG00000119922"	"IFIT2"	7.82988019723664e-83	2.73417285907858e-80	1.9008211509156	0.0985876943671275	7.04069857056417	1.09559975450719	0.00900307019183539	0.00557623002910381	0.00377414822708412	0.00557623002910381
"148"	148	"ENST00000281938"	"ENSG00000152137"	"HSPB8"	2.51884029193972e-82	8.73629120715201e-80	1.39779523138191	0.0727261675157972	6.34550808230783	0.588266696706297	0.00295621138627084	-0.00030965633115718	0.00497743177603287	0.00497743177603287
"149"	149	"ENST00000621671"	"ENSG00000273722"	"TMC4"	3.20654191343613e-82	1.10468596980204e-79	1.37345253957746	0.0715062531317577	6.70420326224001	0.570221455403413	0.00347608436586247	0.00191128046149072	0.00419363198955204	0.00419363198955204
"151"	151	"ENST00000577035"	"ENSG00000170296"	"GABARAP"	4.8572854355606e-82	1.65121970846488e-79	1.39252646312152	0.072580828977298	7.27882124033856	0.58806055723016	0.0019000503098364	0.00600191479271127	0.0036435710352594	0.00600191479271127
"154"	154	"ENST00000373189"	"ENSG00000198246"	"SLC29A3"	4.32709245689876e-81	1.44232668829563e-78	2.0545276608214	0.107725652793117	5.87707184505295	1.28025095224772	0.00584900867853603	0.0115582157260188	0.00677590665910486	0.0115582157260188
"168"	168	"ENST00000331825"	"ENSG00000087086"	"FTL"	1.60404250706364e-79	4.90111368884468e-77	1.32064813375346	0.0699421845006603	8.93000821868262	0.525873038200851	0.000215817349393475	0.00308367045673156	0.00712204640969313	0.00712204640969313
"171"	171	"ENST00000262269"	"ENSG00000105357"	"MYH14"	4.23715629066618e-79	1.27193980533612e-76	1.27582711166098	0.0677527690882661	7.61290202332383	0.493828970917715	0.00273772205405528	0.00414793452463659	0.0036748720417847	0.00414793452463659
"172"	172	"ENST00000342456"	"ENSG00000006534"	"ALDH3B1"	4.431369256557e-79	1.32250608533479e-76	1.48816969698702	0.0790391794400925	6.78092754294815	0.671891344373005	0.00299173505174015	0.00637905277810457	0.00407166857484669	0.00637905277810457
"175"	175	"ENST00000358321"	"ENSG00000099994"	"SUSD2"	2.82835169772317e-78	8.29628281985862e-76	2.16904629912027	0.115807067227946	6.42383813187174	1.42752208650213	0.00387771182355065	0.0162392034063564	0.00478062729401151	0.0162392034063564
"179"	179	"ENST00000321348"	"ENSG00000071967"	"CYBRD1"	7.13935188162357e-78	2.04735871948325e-75	1.8244070806726	0.0976638969345334	7.48767242658084	1.00998424291983	0.00126880239406019	0.0130385527525985	0.0036338190155008	0.0130385527525985
"181"	181	"ENST00000544848"	"ENSG00000246705"	"H2AJ"	9.38805298088044e-78	2.6624725724561e-75	1.15437176629415	0.0618440707650472	6.7901215886216	0.404361879351674	0.00160029548844494	0.00413673814474332	0.00405815165453405	0.00413673814474332
"190"	190	"ENST00000379270"	"ENSG00000130066"	"SAT1"	1.58545793564723e-75	4.28340667119177e-73	1.53519637157165	0.0834808348524499	6.79542265911409	0.715411229531217	0.00387632257081346	0.00657725211067955	0.00405046274215254	0.00657725211067955
"194"	194	"ENST00000352480"	"ENSG00000130707"	"ASS1"	5.02271103137792e-75	1.32899898279738e-72	1.34738586634582	0.0735184463173126	9.00134223942679	0.550296474391821	0.000545420501422813	0.00653192017767422	0.00756202242194456	0.00756202242194456
"196"	196	"ENST00000486901"	"ENSG00000142798"	"HSPG2"	1.29438106733978e-74	3.37274969282669e-72	1.37852271374204	0.0754296477293531	6.69004426398446	0.574595333101668	0.00431647649223823	0.00130586277132468	0.00421797114262323	0.00421797114262323
"199"	199	"ENST00000379982"	"ENSG00000164292"	"RHOBTB3"	5.29037496329296e-74	1.36465089254148e-71	1.06306163336136	0.0584143407219364	7.87649711006053	0.343124693139854	0.000507493204773516	0.0046108595981942	0.00388273587936005	0.0046108595981942
