"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"81"	81	"ENST00000304567"	"ENSG00000171848"	"RRM2"	4.50116324442498e-104	2.85251495880028e-101	-1.80743476809775	0.0834309548883523	7.49794670553419	0.988399001358863	0.00162390949735624	0.00881717685301717	0.00363584858639226	0.00881717685301717
"84"	84	"ENST00000360803"	"ENSG00000107937"	"GTPBP4"	1.51989616673312e-103	9.28801309889817e-101	-1.54499633588669	0.0715020729087625	6.81104051724934	0.722239159087288	0.00149152928687718	0.0061772903584978	0.00402825181009955	0.0061772903584978
"85"	85	"ENST00000337004"	"ENSG00000156471"	"PTDSS1"	1.61916673027866e-103	9.77824312925462e-101	-1.22100257386401	0.0565153592988438	7.10707495061909	0.447702458152888	0.00106631208879122	-0.000505971416131779	0.0037246666662249	0.0037246666662249
"86"	86	"ENST00000166345"	"ENSG00000071539"	"TRIP13"	3.3430074036319e-103	1.99538669817712e-100	-1.42110730390532	0.0658795944086857	6.40779618982826	0.608288380098362	0.00169054194864887	0.00134019471941128	0.00481963949053053	0.00481963949053053
"89"	89	"ENST00000358432"	"ENSG00000142627"	"EPHA2"	6.49834205956649e-103	3.74801005170412e-100	-1.87121413235397	0.0868695255881703	7.49949937830751	1.05948827610746	0.000677521356321914	0.0106419503575487	0.00363617593495507	0.0106419503575487
"90"	90	"ENST00000379143"	"ENSG00000132646"	"PCNA"	8.88894874460411e-103	5.06986129953354e-100	-1.26582429107725	0.0588044464217762	8.38264801729543	0.483742650354394	0.00034840373009504	0.0034632332574396	0.00483854064836228	0.00483854064836228
"93"	93	"ENST00000251413"	"ENSG00000131462"	"TUBG1"	2.51056027464981e-101	1.38572129051962e-98	-1.35884780279547	0.0635850087934512	6.62076647783735	0.558260487004031	0.00171896417926646	0.00368138788999603	0.00434561583562845	0.00434561583562845
"94"	94	"ENST00000359995"	"ENSG00000161547"	"SRSF2"	2.03550389174609e-100	1.11155835926713e-97	-1.27314637476358	0.059849039894003	7.94669298458318	0.487932991551306	0.00140484483788915	0.000673260261124257	0.0039680165264618	0.0039680165264618
"95"	95	"ENST00000381962"	"ENSG00000271303"	"SRXN1"	2.75696473967754e-100	1.48968962123292e-97	-1.17799523711831	0.0554131838922422	7.24774113703021	0.417672357866978	0.000952614768624255	0.000760540562566848	0.00365331665498892	0.00365331665498892
"98"	98	"ENST00000265351"	"ENSG00000124571"	"XPO5"	8.52879934477811e-99	4.46735028536888e-96	-1.35559312974098	0.0642561755102161	6.64596468830739	0.551608886786339	0.00189576483293795	-0.00149693137537081	0.0042975193038616	0.0042975193038616
"99"	99	"ENST00000287598"	"ENSG00000156970"	"BUB1B"	1.51714101954525e-98	7.86645280962592e-96	-1.27421688991177	0.0604770166867841	6.72863807351517	0.489025078229102	0.0013332165138861	0.00108737532133603	0.00415298780711424	0.00415298780711424
"100"	100	"ENST00000302787"	"ENSG00000168924"	"LETM1"	1.96478718763652e-98	1.00856455915758e-95	-1.37147697240243	0.0651310458162569	6.42424060951887	0.566852124525302	0.00158342349917122	0.00162582497115531	0.0047796561945078	0.0047796561945078
"102"	102	"ENST00000447654"	"ENSG00000137309"	"HMGA1"	8.54621951682674e-98	4.30092686507598e-95	-1.95587620231953	0.0931927933984228	6.56182542778665	1.1484264589734	0.00856152171876703	-0.0075728425519587	0.00446582339333466	0.00446582339333466
"103"	103	"ENST00000506572"	"ENSG00000134057"	"CCNB1"	2.12881304101496e-97	1.06093428176097e-94	-1.21375785013277	0.0579525710429551	7.56567182580707	0.444529845189416	0.00138256029486745	0.00182670165731129	0.00365519044086569	0.00365519044086569
"104"	104	"ENST00000242776"	"ENSG00000123136"	"DDX39A"	3.17578836502751e-96	1.56749584955377e-93	-1.61945465442187	0.0778028734264616	7.28405924698636	0.794053957854692	0.00118615214729187	0.00789377852282913	0.00364214087189539	0.00789377852282913
"105"	105	"ENST00000322213"	"ENSG00000072501"	"SMC1A"	7.54731461918845e-96	3.68970241935411e-93	-1.46385713321129	0.0704681682578413	7.4985904456599	0.644621502925292	0.00381266045884342	-0.00161492172231889	0.00363598364757973	0.00363598364757973
"106"	106	"ENST00000373944"	"ENSG00000122952"	"ZWINT"	8.19479107535014e-96	3.96844354226296e-93	-1.32060078083102	0.0635840955680646	7.23121708512165	0.527673626452787	0.0024050278964432	0.00319209679522963	0.00365937791736996	0.00365937791736996
"107"	107	"ENST00000262982"	"ENSG00000124207"	"CSE1L"	9.05118951267607e-96	4.3422024305111e-93	-1.33738151416312	0.0644068603564136	7.90913543559544	0.541554686720736	0.000461383010099901	0.00576098248135595	0.00392072625086206	0.00576098248135595
"108"	108	"ENST00000439383"	"ENSG00000175166"	"PSMD2"	2.1275588678036e-95	1.01122085001939e-92	-1.27857673872722	0.0616970203390355	8.43121319820998	0.492820986236915	0.000731310501225502	0.00226049348954642	0.00497847297684753	0.00497847297684753
"109"	109	"ENST00000397011"	"ENSG00000106263"	"EIF3B"	2.10000553181445e-93	9.8896774274403e-91	-1.30490992576238	0.0636503816537718	7.9733497088921	0.514395479798265	0.00207310136862783	0.00237503049676421	0.00400395525837839	0.00400395525837839
"110"	110	"ENST00000370651"	"ENSG00000285976"	"AL135905.2"	3.43365726854438e-93	1.60233177189927e-90	-1.51421398121242	0.0739460836740715	6.4110444103432	0.694414822218631	0.00311686916261336	0.00508516577348582	0.00481169104740484	0.00508516577348582
"111"	111	"ENST00000395124"	"ENSG00000134802"	"SLC43A3"	7.89472546926477e-93	3.65091934944414e-90	-2.02679369198543	0.0991743668460953	7.28680732285133	1.23597281578834	0.011111917556562	-0.00660564902311103	0.00364141500242388	0.00364141500242388
"112"	112	"ENST00000341446"	"ENSG00000184992"	"BRI3BP"	9.0648955100629e-93	4.15463586002276e-90	-1.34736233406757	0.0659504435254728	6.41452731272505	0.548087098471671	0.00172099508422319	0.00261840578136017	0.00480319641758668	0.00480319641758668
"113"	113	"ENST00000323274"	"ENSG00000176890"	"TYMS"	9.81774632195767e-93	4.4598633114932e-90	-1.54438225516718	0.0756085578818491	6.59442838648703	0.719453954479817	0.00417700244100447	0.000721734380540466	0.00439797859645491	0.00439797859645491
"114"	114	"ENST00000454366"	"ENSG00000075218"	"GTSE1"	1.05845553733411e-92	4.7660210212662e-90	-1.24710924420037	0.0610658996019821	6.69728014076645	0.470172420667548	0.00138810613007144	0.00309686959060687	0.00420546001122759	0.00420546001122759
"116"	116	"ENST00000355303"	"ENSG00000131620"	"ANO1"	4.81160657354295e-92	2.12921886752678e-89	-1.43179097662241	0.0703643347720516	6.85056484343527	0.620259922941048	0.00345175708703284	0.00311362131277569	0.00397495232483719	0.00397495232483719
"117"	117	"ENST00000534548"	"ENSG00000151503"	"NCAPD3"	2.44739653833636e-91	1.0737586248366e-88	-1.45472818602048	0.0717734000788855	6.20653912402942	0.635793446071933	0.00235025741988239	-0.00119623553088224	0.00537687401844325	0.00537687401844325
"118"	118	"ENST00000382011"	"ENSG00000100297"	"MCM5"	3.88393436081141e-90	1.68957727634891e-87	-1.14691423403558	0.0569701962777192	7.24008834291065	0.397727745437384	0.00121235717330417	0.00266772703589052	0.00365604772257861	0.00365604772257861
"119"	119	"ENST00000272542"	"ENSG00000144136"	"SLC20A1"	7.94089192910631e-90	3.42539381936878e-87	-1.38334563128701	0.0688356316370599	6.4016534712657	0.57625692853802	0.00227277511390469	0.000431459708300498	0.00483474116040481	0.00483474116040481
"121"	121	"ENST00000331134"	"ENSG00000182446"	"NPLOC4"	1.28181322322734e-88	5.43785424584345e-86	-1.05424652645623	0.0528237295170417	7.54097728738615	0.334392457317349	0.000538586127737553	0.000663583564564358	0.00364693347239682	0.00364693347239682
"122"	122	"ENST00000409687"	"ENSG00000186193"	"SAPCD2"	2.66500306748846e-88	1.12131096278949e-85	-1.13813337100476	0.057131753602787	7.04191441077383	0.390792070833631	0.00112290728402057	0.0016118424350201	0.00377314862057377	0.00377314862057377
"125"	125	"ENST00000303383"	"ENSG00000171241"	"SHCBP1"	2.20551038173024e-87	9.05706071319814e-85	-1.37407141058786	0.0693446471919566	6.31436252621417	0.568772289386328	0.00215235895787727	0.000785912251936934	0.00506066118338814	0.00506066118338814
"126"	126	"ENST00000350051"	"ENSG00000089685"	"BIRC5"	2.49007753055213e-87	1.0144496809389e-84	-1.21494271043066	0.0613328817438165	7.5191190745583	0.446137207847884	0.00200180350625929	0.00213753519287409	0.00364078006824219	0.00364078006824219
"127"	127	"ENST00000372435"	"ENSG00000147224"	"PRPS1"	3.11346754790422e-87	1.25842926117338e-84	-1.46879557014368	0.0741900593909178	6.33850555009601	0.64730711848987	0.00326037580577515	-0.00313663777106948	0.00499587156286672	0.00499587156286672
